LONG,LAT,RAR,ses.mntd
1.69898172,43.28664024,2.326,2.413
1.67492327,43.25935133,5,2.332
1.66476868,43.16018566,8.696,0.479
2.82076506,43.23086855,18.75,-1.718
2.808479,43.22184419,15.152,-0.898
2.82079144,43.22186414,25.926,0.003
2.83312845,43.21287833,15,-0.074
3.3140771,43.37464703,6.25,2.11
2.46270995,43.33779929,12.5,1.022
3.11644615,43.30298481,10.256,1.236
3.17814284,43.32091399,1.923,1.729
2.46350201,43.24775975,9.677,0.597
2.8947592,43.16792907,7.895,-0.567
2.86967634,43.39301245,2.778,2.595
3.32632373,43.35660429,10.256,0.55
3.15291459,43.09583846,1.852,2.567
2.1452815,43.10175307,2.778,1.587
2.04684738,43.10998,3.704,2.407
2.08478527,43.03825281,4.762,1.973
3.26357601,43.11364636,3.704,1.423
3.34940533,43.07739786,1.754,0.574
2.84489034,43.42899816,6.25,0.405
4.2257269,43.28747195,5.97,2.013
2.93159381,43.2309885,2,1.317
2.44018528,43.1035759,2.326,-0.432
2.4522326,43.13064801,2.128,1.448
1.60390078,43.13244579,2.222,1.391
1.62848277,43.13274314,6.522,0.538
1.69917356,43.2776382,1.852,1.284
1.66319731,43.23220206,8.824,0.01
1.70223094,43.1336035,5.172,1.428
1.6870466,43.26849539,5.714,0.746
1.50183551,43.28422755,3.509,2.35
3.40059741,43.39238508,5.714,0.612
3.36344967,43.37450078,3.125,2.094
3.36318112,43.32948041,2.326,1.002
3.38825072,43.39242767,1.961,1.677
2.9931605,43.27603081,2.273,2.682
2.9191723,43.31201985,2.778,1.411
3.28913414,43.32068727,8.451,2.265
3.25206275,43.30276635,6.452,1.541
3.31403064,43.36564294,13.462,-0.475
3.28917684,43.32969146,12,1.52
3.26407987,43.23070415,3.704,1.281
1.62626403,43.23176444,6.78,2.738
2.91910061,43.36604546,7.407,-0.567
3.25150669,43.16770104,8.333,-0.622
4.28791037,43.3138012,6.849,-0.202
2.72233316,43.21266307,10.448,-0.895
2.74684247,43.23973328,6,2.395
2.49964227,43.34697108,12,1.264
3.21488638,43.248816,1.429,0.998
3.11646334,43.31198912,10.169,0.299
3.72117226,43.35479608,6.383,0.74
2.88256101,43.11388966,5.405,0.865
2.01056254,43.07365367,7.5,0.711
2.00838224,43.2087023,5.085,0.63
4.23804976,43.28733922,6.522,0.425
1.84804512,43.22520874,1.786,0.147
1.94606761,43.25316691,22.642,1.505
